track_id,has_scene,road_file_count,road_point_count_total,checkpoint_count_total,heightmap_count,object_count,fluid_count,base_track,sky_material,road_materials,pipe_materials,wall_materials,has_pipe_signals,has_stunt_signals,complexity_score,category_guess,has_gallery_preview,has_preview_view,has_preview_road,has_preview_terrain,has_road_density_png,terrain_surfaces,ini_num,ini_scenery,ini_objects,ini_obstacles,ini_fluids,ini_bumps,ini_jumps,ini_loops,ini_pipes,ini_banked,ini_frenzy,ini_underwater,ini_narrow,ini_longn,ini_diff,ini_rating,ini_time,ini_author,ini_created_ver
Ano3-Oversize,1,1,255,53,2,146,5,,sky/anomaly_02,roadAsphaltAnomalySpace;roadAsphaltAnomalySpaceStreaks;wall_space_gray_anomaly;roadMetal2Anomaly,pipeAsphaltAnomalySpace;pipeAsphaltAnomalySpaceStreaks;pipeGlassAnomaly1Blue;pipeGlassAnomalySpaceDark;pipe_wall_metal_01_anomaly,road_wall_metal_02_anomaly;pipe_wall_metal_01_anomaly,1,1,89.0,stunt,1,1,1,1,1,Metal;SnowMedium;Default;roadDesert;roadForestWet;roadSnow,239,Anomaly,3,3,3,1,2,1,3,5,2,0,2,25,4,4,645.0,"rubberduck,CryHam",2.8
Apo1-TarFields,1,1,841,198,3,243,1,W13-MtFog,sky/cloudy_02_toxic,roadMudOil;roadSandToxic;roadJDark;roadSandWhite,pipeGlassWhiteB;pipeGlassYellow;wallP_metal_05_bars;pipe_wall_Black;wallP_metal_03_green,wall_metal_213_rust;wallP_metal_03_green,1,1,168.0,stunt,1,1,1,1,1,GrassJungleWet;DesertMud;Rocks;Default;roadJungle;roadGravel;roadDesert,241,PostApo,3,2,4,2,4,4,3,4,5,0,2,19,7,6,986.0,rubberduck,2.8
Apo2-Toxicity,1,1,248,43,2,140,4,Apo1-TarFields,sky/cloudy_05_grey,roadMudOil;roadNdirtWet;roadJDarkWet;roadSandToxic,wallP_metal_213_rust;wallP_metal_07_worn;wallP_metal_05_bars;pipe_wall_Black;wallP_metal_03_green,wall_metal_213_rust;wallP_metal_03_green,1,1,87.2,stunt,1,1,1,1,1,GrassJungleWet;DesertMud;Rocks;Default;roadJungle;roadGravel,244,PostApo,3,1,2,2,1,0,1,2,2,0,2,3,3,3,141.0,CH,3.3
Atm1-Autumn,1,1,49,16,2,2,1,,sky/day_clouds_08,roadJungle;roadNdirt,pipeAsphalt,,0,1,29.5,stunt,1,1,1,1,1,GrassForest;Rocks;Default;roadGravel,104,Autumn,0,0,0,0,0,0,0,2,1,0,1,2,2,3,69.0,CH,1.9
Atm10-LakeCity,1,1,128,31,3,103,8,Atm6-Sunset,sky/evening_01_orange,roadStone;roadMud;roadAsphalt,pipeAsphalt;pipeGlassOrange,,1,1,88.6,stunt,1,1,1,1,1,GrassForest;Rocks;Default;roadForest;Asphalt,218,Autumn,0,0,2,1,2,0,1,1,2,0,2,4,2,4,154.0,EP,2.8
Atm2-RedOakPark,1,1,39,15,2,3,0,,sky/day_clear_01,roadSandShore;roadMud,pipeAsphalt,,0,1,25.7,stunt,1,1,1,1,1,Default;GrassForest;Rocks;roadGravel,105,Autumn,0,0,0,0,0,0,0,2,2,0,1,1,2,3,47.5,CH,1.9
Atm3-Orange,1,1,52,17,2,4,0,W14-DangerRoad,sky/overcast_01_grey,roadSavannahWet;roadJungleWet;roadMudWet,pipeAsphalt,,0,1,32.1,stunt,1,1,1,1,1,GrassForest;Rocks;Default;roadForestWet;roadSnowIce;AsphaltWet,106,Autumn,0,0,0,0,0,0,0,4,2,0,1,2,3,5,56.9,CH,1.9
Atm4-Scary,1,1,67,24,2,12,2,,sky/cloudy_03_dark2,roadMudWet;roadJungleWet,pipeAsphalt,,0,1,36.6,stunt,1,1,1,1,1,GrassForestWet;Rocks;Default;roadJungleWet,109,AutumnDark,1,0,0,0,0,0,0,2,1,0,1,3,2,4,98.6,CH,1.9
Atm5-Twister,1,1,30,21,2,2,0,,sky/dusk_stormy_02_grey,roadMud;roadAsphalt,pipeAsphalt,,0,1,26.8,stunt,1,1,1,1,1,GrassForestWet;Rocks;Default;roadForest,110,AutumnDark,0,0,0,0,1,0,0,3,2,0,3,1,4,2,54.0,wowie,2.0
Atm6-Sunset,1,1,23,13,2,11,1,,sky/sunset_03_rays,roadStone;roadMud,pipeAsphalt,,0,1,27.9,stunt,1,1,1,1,1,GrassForest;Rocks;Default;roadForest,118,Autumn,2,0,0,1,0,0,0,1,2,0,1,2,1,3,82.6,Wuzzy,2.1
Atm7-Industrial,1,3,367,65,2,122,0,Industrypark,sky/cloudy_02_toxic,roadSavannah;roadMud;roadNdirt;roadNgravel,pipeMetal;pipeGlass;pipeMetalOrn;pipeMetalBlue;grate_04;grate_03;grate_sf,road_wall_Red;grate_04;grate_05;grate_03;grate_sf,1,1,86.6,stunt,1,1,1,1,1,DesertFast;GrassJungleWet;Rocks;GrassForest;Default;roadGravel,162,Autumn,3,3,0,0,1,1,3,1,3,0,1,8,6,4,372.0,"rubberduck,CryHam",2.5
Atm8-Ultima,1,1,521,110,2,0,0,W13-MtFog,sky/day_clouds_02_blue,roadMud;roadNgravel;roadDesert;roadSnowGrn,pipeGlassYellow;pipeGlassCyan;pipeGlassWhiteB;pipeGlassGreen;pipe_wall_Orange,road_wall_Jungle;pipe_wall_Orange,1,1,97.9,stunt,1,1,1,1,1,GrassForest;Rocks;Default;roadForest;roadJungle,164,Autumn,0,1,0,1,2,1,2,3,4,0,2,16,5,4,630.0,CH,2.5
Atm9-SchwabAutumn,1,1,484,116,2,90,4,Jng3-Rocky,sky/day_clouds_09,roadJungle;roadNdirt;roadStone,pipeAsphalt;pipeGlassGreen;pipeGlassYellow;pipeGlass;pipe_wall_JDark,road_wall_Jungle;pipe_wall_JDark,1,1,117.0,stunt,1,1,1,1,1,GrassForest;Rocks;GrassJungle;Default;roadJungle;Asphalt,201,Autumn,0,0,1,1,3,4,3,3,4,0,2,12,5,6,465.0,"EP,CryHam",2.7
Aus1-StuntPark,1,1,252,55,2,0,0,W13-MtFog,sky/day_clouds_07,roadAdesertDark;roadAdesert;roadCdesert;roadDesertOrn,pipeGlassBlue;pipeGlassYellow;pipeGlassCyan;pipe_wall_Red,road_wall_Red;pipe_wall_Red,1,1,67.2,stunt,1,1,1,1,1,DesertFast;DesertBumpy;Default;roadAdesert;roadDesert,53,Australia,0,0,0,0,2,2,2,4,3,0,3,5,5,5,187.6,CH,1.2
Aus10-PreythCity,1,1,312,44,2,65,1,Isl10-Treasure,sky/day_clouds_02,roadSand;roadAsphalt;roadAdesert;roadMud,pipeGlass;pipeGlassBlue;pipeAsphaltRed;wallP_space_metal,wall_metal_06_plates;wallP_space_metal,1,1,75.8,stunt,1,1,1,1,1,DesertFast;GrassForest;Rocks;Default;roadGravel;Asphalt;roadAdesert;roadSnow,204,Australia,0,0,1,1,2,1,2,3,3,0,1,8,4,5,262.0,EP,2.7
Aus2-PipeCoil,1,1,127,3,2,0,0,W13-MtFog,sky/day_clouds_02_blue,roadAdesert,pipeGlassBlue;pipeGlass;pipeGlassBlueD;pipeGlassViolet;pipe_wall_Orange,pipe_wall_Orange,1,1,45.4,stunt,1,1,1,1,1,DesertFast;DesertBumpy;Default;roadAdesert;roadDesert,56,Australia,0,0,0,0,0,3,4,0,4,0,2,2,2,3,45.8,CH,1.3
Aus3-Canyon,1,1,135,34,2,12,1,,sky/day_clouds_04_blue,roadAdesert,pipeAsphalt;pipeGlass,road_wall_Red,0,1,41.7,stunt,1,1,1,1,1,DesertFast;Default;roadAdesert,60,Australia,0,0,0,2,1,0,0,2,0,0,2,5,2,5,161.0,CH,1.4
Aus4-Snake,1,1,109,17,2,0,0,TestC4-ow,sky/evening_02,roadAdesert,pipeAsphalt;pipeGlassCyan;pipeGlassOrange;pipeAsphaltRed;pipe_wall_Orange,road_wall_Red;pipe_wall_Orange,1,1,48.4,stunt,1,1,1,1,1,DesertFast;Rocks;Default;roadForestWet;roadJungle;roadForest,73,Australia,0,0,0,0,0,0,3,3,4,0,1,2,5,3,97.0,CH,1.5
Aus5-TopTwist,1,1,101,31,2,0,1,,sky/day_clouds_04_blue,roadAdesertDark;roadAdesert,pipeAsphalt;pipeGlass,road_wall_Red,0,1,38.0,stunt,1,1,1,1,1,DesertFast;Default;roadAdesert,98,Australia,0,0,1,1,4,0,0,2,2,0,1,5,5,4,165.5,CH,1.8
Aus6-Cannon,1,1,175,63,2,0,0,,sky/day_clouds_04_blue,roadAdesert,pipeAsphalt;pipeGlass,road_wall_Red,0,1,48.2,stunt,1,1,1,1,1,DesertFast;Rocks;Default;roadDesert;roadGravel,111,Australia,0,0,0,2,2,0,0,2,1,0,0,15,3,4,385.5,CH,2.0
Aus7-MiningCity,1,1,145,45,3,109,0,,sky/day_clouds_02_blue,roadAsphalt;roadAdesert,pipeAsphalt;pipe_wall_Orange,road_wall_Red;pipe_wall_Orange,0,1,54.5,stunt,1,1,1,1,1,DesertFast;Rocks;Default;Asphalt;roadDesert;Metal;DesertBumpy,157,Australia,1,0,0,1,0,0,0,2,3,0,1,4,3,4,144.0,"dimproject,CryHam",2.4
Aus8-Cliff,1,1,71,20,3,11,1,Aus5-TopTwist,sky/day_clouds_03_grey,roadCanyon1;roadAdesertDark;roadSandShore;roadMars,pipeAsphalt;pipeGlass,road_wall_Red,0,1,43.1,stunt,1,1,1,1,1,DesertFast;DesertBumpy;Rocks;Default;roadForest;roadAdesert;roadGravel,179,Australia,1,0,1,2,0,0,0,4,3,0,2,3,3,3,130.0,rubberduck,2.6
Aus9-RedDesert,1,1,56,50,2,0,0,Aus9-RedDesert,sky/dawn_01_red,roadCdesert;roadAdesertDark;roadJDarkD;roadDesertBlack,pipeAsphaltRed,road_wall_Red,1,1,54.9,stunt,1,1,1,1,1,DesertFast;Rocks;Default;roadDesert;roadAdesert,185,Australia,0,1,0,2,1,0,1,3,3,0,2,3,3,5,135.0,"EP,CryHam",2.7
Blk1-Darkness,1,1,104,33,2,7,0,,sky/space_nebula_01_blue,roadDesertBlack;roadNdirt,pipeGlassAlien;pipeGlassViolet;pipeGlassWhiteB;pipeGlassWhiteV;pipe_wall_JDark,road_wall_Black;pipe_wall_JDark,1,1,48.3,sci-fi,1,1,1,1,1,DesertFast;DesertBumpy;Rocks;Default;roadDesert;roadGravel;roadAdesert,170,BlackDesert,0,0,0,1,0,0,1,3,3,0,0,2,2,2,82.0,CH,2.5
Blk2-Sawtooth,1,2,187,42,2,86,1,,sky/overcast_02_purple,roadDesertBlack;roadNdirt;roadMetal1;roadNgravel;River_Blue_jelly,pipeGlassBlueD;pipeAsphalt;pipeGlassWhiteV;pipeGlassAlienBlue;pipe_wall_Black;pipeGlass,road_wall_Black;pipe_wall_Black;River_Blue_jelly,1,1,65.1,stunt,1,1,1,1,1,SnowDeep;DesertFast;Rocks;Default;roadDesert;roadGravel,220,BlackDesert,0,0,1,0,3,0,1,1,2,0,2,4,4,3,197.0,rubberduck,2.8
Can1-Hairpins,1,1,72,19,2,0,0,,sky/day_clouds_03_grey,roadCdesert,pipeGlass,,0,1,28.4,stunt,1,1,1,1,1,DesertFast;DesertBumpy;Default;roadAdesert,80,Canyon,0,0,0,0,0,0,0,4,2,0,0,2,3,3,64.5,CH,1.6
Can10-SandyCanyon,1,1,144,36,3,31,3,,sky/sunset_01_bright,roadAdesert;roadCdesert;roadCanyon1;roadSand,pipeGlass;pipeAsphaltRed;pipeGlassCrystal2Red;pipe_wall_Red,road_wall_Red;pipe_wall_Red,1,1,66.4,stunt,1,1,1,1,1,DesertBumpy;DesertFast;Rocks;SnowMedium;roadAdesert;roadDesert;roadForest;roadGravel,191,Canyon,0,0,2,1,0,0,1,1,2,0,0,8,2,4,255.0,"rubberduck,EP,CryHam",3.0
Can2-CanyonRun,1,1,56,22,2,18,0,,sky/cloudy_04_white,roadCdesert,pipeGlass,road_wall_Red,0,1,31.4,stunt,1,1,1,1,1,DesertFast;Rocks;DesertBumpy;Default;roadDesert,86,Canyon,1,0,0,0,0,0,0,4,2,0,0,3,3,4,67.9,CH,1.7
Can3-Vast,1,1,117,51,3,3,0,,sky/dusk_stormy_01_brown,roadCdesert;roadAdesertDark,pipeGlass,road_wall_Red,0,0,37.8,mixed,1,1,1,1,1,DesertFast;Rocks;Default;roadAdesert,92,Canyon,0,0,0,0,1,0,0,1,0,0,0,13,1,3,260.7,CH,1.7
Can4-Sway,1,1,94,30,2,2,0,,sky/sunset_04_cloudy,roadAdesertDark;roadCdesert;roadCanyon2;roadSandSet,pipeGlass,road_wall_Red,0,1,34.5,stunt,1,1,1,1,1,DesertBumpy;DesertFast;Rocks;Default;roadAdesert;roadDesert;roadForest,123,Canyon,0,0,0,0,3,0,0,3,2,0,0,5,3,2,137.2,CH,2.1
Can5-Obstacles,1,1,104,49,2,42,0,,sky/dawn_01,roadCanyon1;pipeAsphaltRed,pipeGlassYellow;pipeGlass;pipeGlassOrange;pipeAsphaltRed;pipe_wall_Red,road_col_Black;pipe_wall_Red,1,1,55.8,stunt,1,1,1,1,1,DesertFast;DesertBumpy;Rocks;Default;roadForest;roadDesert,137,Canyon,2,4,0,0,0,0,3,2,2,0,3,3,4,3,165.0,"rubberduck,CryHam",2.2
Can6-Abyss,1,1,53,20,2,0,0,Isl10-Treasure,sky/day_clouds_04_blue,roadCdesert;roadDesert;roadMud;roadSandSet,pipeGlass,,0,1,32.7,stunt,1,1,1,1,1,DesertFast;DesertBumpy;Rocks;Default;roadDesert;Asphalt;roadAdesert;roadSnow,149,Canyon,0,0,0,0,2,0,0,1,1,0,1,3,3,4,76.0,CH,2.3
Can7-RedWavy,1,1,188,69,2,61,1,O5-Factory,sky/dawn_01_orange,roadCanyon1;roadCanyon2;roadCdesert;roadAdesertDark,pipeGlassRed;pipeGlassOrange;pipeGlassYellow;pipe_wall_Red,road_wall_Red;pipe_wall_Red,1,1,75.7,stunt,1,1,1,1,1,DesertFast;DesertBumpy;Rocks;Default;roadForest;roadDesert;roadAdesert,172,Canyon,1,3,1,2,0,0,2,4,3,0,1,9,4,3,330.0,rubberduck,2.5
Can8-RedoPoka,1,1,361,63,2,130,1,Jng3-Rocky,sky/day_clouds_05_bright,roadDesertBlack;roadAdesertDark;roadAsphalt,pipeGlassYellow;pipeGlass;pipe_wall_JDark,road_wall_JDark;pipe_wall_JDark,1,1,89.4,stunt,1,1,1,1,1,DesertFast;Rocks;Default;roadDesert;roadAdesert,214,Canyon,2,1,1,2,0,0,1,3,3,0,2,9,3,3,385.0,"EP,CryHam",2.7
Can9-DukeRain,1,1,72,14,3,0,1,Jng3-Rocky,sky/cloudy_03_dark2,roadJDark;roadJDarkD;roadFunny,pipeGlassGreen;pipe_wall_Jungle,road_wall_JDark;pipe_wall_Jungle,1,1,52.5,stunt,1,1,1,1,1,GrassJungle;Rocks;Default;roadJungle;roadDesert,216,Canyon,0,0,1,1,1,0,1,1,2,0,3,2,2,3,100.0,"EP,CryHam",2.7
Cry1-CrystalMoon,1,1,36,10,2,0,1,,sky/space_nebula_01_blue,roadCrystal,pipeGlass,,0,1,36.9,sci-fi,1,1,1,1,1,SnowDeep;SnowMedium;Default;roadDesert;roadGravel;roadAdesert,154,Crystals,0,0,0,1,1,0,0,1,1,0,2,2,3,4,63.0,CH,2.4
Cry2-MagicFog,1,1,92,32,2,23,1,Industrypark-edit,sky/space_nebula_01,roadCrystal;roadSandMagic,pipeGlassBlueD;pipeGlassViolet;pipeGlassCrystal;pipeGlassAlienBlue;pipe_wall_JDark,road_wall_JDark;pipe_wall_JDark,1,1,66.7,sci-fi,1,1,1,1,1,SnowDeep;Rocks;Default;roadForest;roadGravel;roadDesert,161,Crystals,0,2,1,0,0,0,3,2,3,0,0,3,3,4,104.0,"rubberduck,CryHam",2.5
Cry3-BlueHell,1,1,226,53,2,29,1,Industrypark,sky/space_nebula_01_blue,roadSandMagic;roadCrystal;roadMetal1;roadIce,pipeGlassCrystal;pipeGlassCrystal2Cyan;pipeGlassAlienBlue;pipeGlassCyan;pipe_wall_crystal,road_wall_crystal;pipe_wall_crystal,1,1,80.6,sci-fi,1,1,1,1,1,SnowDeep;SnowMedium;Default;roadGravel;roadDesert;roadSnow,182,Crystals,0,3,1,1,2,3,3,3,3,0,1,6,6,5,310.0,"rubberduck,CryHam",2.6
Cry4-Slide,1,1,36,10,2,27,0,X3-Cloud,sky/space_nebula_01_blue,roadSandMagic;roadCrystalCyan;roadMagicMirrorCyan;roadIce,pipeGlassCyan;pipeGlassAlienLime;pipeGlassAlienBlue;pipe_wall_Alien,pipe_wall_Alien,1,1,54.6,sci-fi,1,1,1,1,1,SnowDeep;Rocks;Default;roadGravel;roadDesert,222,Crystals,0,0,0,0,0,1,1,0,2,0,0,1,3,5,42.0,"rubberduck,CryHam",2.8
Cry5-CrystalIslands,1,1,277,67,3,366,1,Cry5-CryIslands_Ter2,sky/space_nebula_01,roadCrystal;roadCrystalCyan;roadCrystalPink;roadSandMagicCyan,pipeGlassCrystal2Cyan;pipeGlassCrystal2Pink;pipeGlassCrystal2Blue;pipeGlassCrystal;pipe_wall_crystal,road_wall_crystal_cyan;pipe_wall_crystal,1,1,119.5,sci-fi,1,1,1,1,1,SnowDeep;Default;roadDesert;roadGravel,240,Crystals,0,0,2,1,1,1,1,2,3,1,2,8,4,5,333.0,rubberduck,2.8
Des1-Dunes,1,1,73,16,2,0,0,,sky/sky_clear_01_bright,roadDesert,pipeGlass,,0,0,19.6,mixed,1,1,1,1,1,DesertFast;DesertBumpy;Default;roadDesert;roadForestWet;Asphalt;roadSnowIce,2,Desert,0,0,0,0,1,0,0,0,0,0,0,3,1,3,68.0,CH,0.3
Des11-PersianCity,1,1,60,21,2,198,0,,sky/sunset_01_bright,roadSand;roadSand2,pipeGlass,,0,1,44.8,stunt,1,1,1,1,1,DesertFast;Rocks;Default;roadDesert;roadGravel,95,Desert,2,0,0,1,0,0,0,1,2,0,2,1,2,4,53.8,CH,1.7
Des12-Sandstorm,1,1,38,10,2,3,0,,sky/day_clouds_05_dust,roadDesert,pipeGlass,,0,1,24.2,stunt,1,1,1,1,1,DesertFast;DesertBumpy;Default;roadDesert,103,Desert,0,0,0,2,1,0,0,1,1,0,0,1,3,2,48.5,CH,1.9
Des14-JumpCrazy,1,1,40,14,2,23,0,,sky/day_clouds_02_blue,roadDesert,pipeGlass,road_wall_Desert,0,1,28.6,stunt,1,1,1,1,1,DesertFast;DesertBumpy;Rocks;Default;roadDesert,134,Desert,0,0,0,0,3,0,0,0,1,0,0,2,2,3,67.0,"rubberduck,CryHam",2.2
Des15-CityWall,1,1,97,33,3,114,1,,sky/day_clouds_02_blue,roadDesert;roadSand2;roadSandDark,pipeGlass,road_wall_Desert,0,1,51.8,stunt,1,1,1,1,1,DesertFast;DesertBumpy;Default;roadDesert;Rocks,136,Desert,3,0,1,2,0,0,0,1,2,0,2,3,3,4,121.0,"rubberduck,CryHam",2.2
Des16-AsphaltJumps,1,1,60,21,3,0,0,Isl10-Treasure,sky/day_clouds_08,roadAsphalt,pipeGlass,,0,1,37.3,stunt,1,1,1,1,1,DesertFast;DesertBumpy;Default;Asphalt;roadAdesert;roadSnow,144,Desert,0,0,0,1,3,0,0,2,2,0,2,3,2,2,86.0,dimproject,2.2
Des17-NileCity,1,1,78,26,3,179,1,,sky/day_clouds_04_blue,roadDesert;roadSand2;roadSandDark,pipeGlass,road_wall_Desert,0,1,54.2,stunt,1,1,1,1,1,DesertFast;DesertBumpy;Default;roadDesert,155,Desert,1,0,2,1,1,0,0,1,1,0,1,4,2,5,116.0,CH,2.4
Des18-Shuttle,1,1,68,33,3,27,0,D3-Passage,sky/sunset_04_cloudy,roadDesert;roadDesertOrn;roadCdesert,pipeGlassYellow;pipeGlassCyan;pipeGlassAlienLime;wallP_space_grayblue,wall_metal_12_cyan;wallP_space_grayblue,1,1,57.0,stunt,1,1,1,1,1,DesertFast;DesertBumpy;Rocks;Default;roadDesert;Asphalt,163,Desert,2,0,0,0,0,1,2,4,1,0,2,3,4,3,130.0,Calinou,2.5
Des19-Sandgrains,1,1,53,20,3,70,0,Des16-AsphaltJumps,sky/day_clouds_07,roadDesert;roadAsphalt,pipeGlass,,0,1,42.5,stunt,1,1,1,1,1,DesertFast;Rocks;Default;roadDesert;Asphalt,230,Desert,3,0,0,0,1,0,0,2,2,0,0,2,1,3,71.0,EP,2.8
Des2-Mntn,1,1,53,19,2,18,1,,sky/dusk_stormy_01_brown,roadDesertOrn;roadDesert;roadDesertD,pipeGlass,road_wall_Desert,0,1,33.4,stunt,1,1,1,1,1,DesertBumpy;DesertRocks;Default;roadDesert,7,Desert,0,0,0,4,1,0,0,0,1,0,1,2,3,3,66.5,"CryHam,rubberduck",0.6
